county_fips,dcname,operator,announce_year,confidence,own_or_campus,source_url,evidence,wave
01089,Alabama 3,,2021.0,M,,https://www.huntsvilleal.gov/data-center-expansion-to-benefit-north-huntsville-local-schools/,Meta campus second-phase expansion approved by Huntsville City Council Dec 16 2021; original campus announced Jun 2018; Alabama 3 is among three buildings under construction by end 2021 per city announcement,wave1
01089,Alabama 5,,2022.0,M,,https://www.waff.com/2022/06/09/metas-huntsville-data-center-campus-expanding-support-more-than-300-jobs/,Meta announced Jun 9 2022 two additional buildings expanding campus to 3.5M sqft raising investment to $1.5B; Alabama 5 maps to this Phase 2 wave,wave1
01089,Alabama 6,,2022.0,M,,https://www.waff.com/2022/06/09/metas-huntsville-data-center-campus-expanding-support-more-than-300-jobs/,Same Jun 2022 announcement as Alabama 5; two buildings planned in Phase 2 expansion; Alabama 6 is the second building of that announcement,wave1
13313,"Dalton 1, GA",,2018.0,H,,https://www.prnewswire.com/news-releases/core-scientific-announces-expansion-of-ai--blockchain-facility-in-dalton-ga-301290759.html,Core Scientific purchased Dalton facility in 2018 per May 2021 PR; multiple sources confirm 2018 launch on vacant factory site with $42M investment; Dalton 1 'launched in 2018' per Baxtel,wave1
13313,"Dalton 2, GA",,2018.0,H,,https://www.prnewswire.com/news-releases/core-scientific-announces-expansion-of-ai--blockchain-facility-in-dalton-ga-301290759.html,Dalton 1 and 2 co-located on same Whitfield County site acquired 2018; both treated as initial 2018 announcement; S&P also records op year 2018,wave1
13313,Dalton 3,,2021.0,H,,https://www.prnewswire.com/news-releases/core-scientific-announces-expansion-of-ai--blockchain-facility-in-dalton-ga-301290759.html,Core Scientific press release May 13 2021 announced doubling Dalton footprint from 283k to 588k sqft via three new custom buildings; Dalton 3 is part of this expansion wave,wave1
39045,Lancaster 1,,2021.0,H,,https://abc6onyourside.com/news/local/google-company-increasing-investment-central-ohio-governor-mike-dewine-corporate-leaders-announcement,Google press release Aug 19 2021 announced Lancaster selected for future data center on Whiley Road Rock Mill Industrial Park; land purchased Aug 2021 for ~$4M; formal groundbreaking announcement May 3 2023,wave1
39045,Lancaster 2,,2021.0,H,,https://abc6onyourside.com/news/local/google-company-increasing-investment-central-ohio-governor-mike-dewine-corporate-letters-announcement,Same Aug 2021 Google announcement covers the Lancaster campus; Lancaster 1 and 2 are two buildings on the same 120-acre parcel announced in 2021,wave1
41049,PDX61,,2017.0,M,,https://www.opb.org/news/article/npr-amazon-to-expand-data-centers-in-northeastern-oregon-reaping-more-tax-breaks/,Amazon negotiated with Morrow County officials in 2017 (CREZ executive sessions) for five more data centers each worth $1.9B; PDX61 (op 2018) is among earliest buildings from this expansion wave; first public signal via OPB Oct 2019 reporting on 2017 negotiations,wave1
41049,PDX62,,2017.0,M,,https://www.opb.org/news/article/npr-amazon-to-expand-data-centers-in-northeastern-oregon-reaping-more-tax-breaks/,PDX62 operational 2017 consistent with 2017 secret CREZ negotiations; no earlier specific press release found; earliest credible public announcement signal is the 2017 tax abatement negotiation process,wave1
41049,PDX66,,2019.0,M,,https://www.opb.org/news/article/npr-amazon-to-expand-data-centers-in-northeastern-oregon-reaping-more-tax-breaks/,PDX66 op 2021; Port of Morrow commissioners voted 2019 to approve $1B tax break for five more Amazon data centers (reported Oct 2019 OPB); PDX66 is later phase of same expansion program publicly confirmed 2019,wave1
41049,PDX92,,2019.0,M,,https://www.opb.org/news/article/npr-amazon-to-expand-data-centers-in-northeastern-oregon-reaping-more-tax-breaks/,Same as PDX66; op 2021 facility in Port of Morrow campus; 2019 public vote on tax abatements is first clear public announcement of this wave of buildings,wave1
04013,Mesa,,2015.0,M,,https://www.datacenterknowledge.com/archives/2015/02/02/apple-data-center-coming-to-arizona,Apple announced Feb 2 2015 conversion of GT Advanced Technologies plant to data center; operational control Oct 2015; op ~2016-2017. DCname 'Mesa' with 2016 op year matches Apple timeline; no other operator fits.,wave1
04013,Mesa 1,,2021.0,H,,https://www.datacenterdynamics.com/en/news/meta-expanding-mesa-arizona-data-center-campus-with-three-new-buildings/,Meta announced Mesa campus Aug 2021 (greenfield 5-building); May 2022 announced 3 additional buildings. Mesa 1/2/3 are part of that campus. First public signal: Aug 2021.,wave1
